year,BUYER_COUNTY,BUYER_STATE,opioid_converted_grams,FIPS,population
2006.0,BOONE,IL,5000.1491175,17007,51472.0
2006.0,BOONE,IN,10059.567466,18011,52970.0
2006.0,BOONE,KY,51878.4300815375,21015,109560.0
2006.0,BOONE,MO,26546.100567,29019,149824.0
2006.0,BOONE,NE,937.8649125,31011,5555.0
2006.0,BOONE,WV,14266.703316000001,54005,25089.0
2006.0,BOSQUE,TX,2938.8754425,48035,17797.0
2006.0,BOSSIER,LA,24591.0477265375,22015,107741.0
2006.0,BOTETOURT,VA,3952.2806292249998,51023,32180.0
2006.0,BOTTINEAU,ND,348.285276,38009,6477.0
2006.0,BOULDER,CO,66507.12933912501,08013,291449.0
2006.0,BOUNDARY,ID,4020.929819,16021,10617.0
2006.0,BOURBON,KS,3511.1677313625,20011,14800.0
2006.0,BOURBON,KY,5365.1964825000005,21017,19566.0
2006.0,BOWIE,TX,21820.1966775,48037,91091.0
2006.0,BOWMAN,ND,259.99708200000003,38011,2925.0
2006.0,BOXBUTTE,NE,1945.295925,31013,11012.0
2006.0,BOXELDER,UT,17787.442199999998,49003,46722.0
2006.0,BOYD,KY,45200.190534025,21019,48747.0
2006.0,BOYD,NE,212.7582375,31015,2136.0
2006.0,BOYLE,KY,10302.034872225,21021,28714.0
2006.0,BRACKEN,KY,1446.4152075,21023,8581.0
2006.0,BRADFORD,FL,13424.8308949,12007,28610.0
2006.0,BRADFORD,PA,16074.567315225,42015,61441.0
2006.0,BRADLEY,AR,1376.1923109499999,05011,11986.0
2006.0,BRADLEY,TN,36903.5537928125,47011,93804.0
2006.0,BRANCH,MI,7653.5416125,26023,46326.0
2006.0,BRANTLEY,GA,4096.568688,13025,15363.0
2006.0,BRAXTON,WV,5735.3514,54007,14561.0
2006.0,BRAZORIA,TX,40532.261545337504,48039,283934.0
2006.0,BRAZOS,TX,15691.183764000001,48041,167874.0
2006.0,BREATHITT,KY,7362.738135,21025,15656.0
2006.0,BRECKINRIDGE,KY,4851.02137095,21027,18957.0
2006.0,BREMER,IA,3028.275762,19017,23531.0
2006.0,BREVARD,FL,201186.153403075,12009,530319.0
2006.0,BREWSTER,TX,1730.6849975,48043,9094.0
2006.0,BRISTOL,MA,197121.49622531253,25005,543634.0
2006.0,BRISTOL,RI,12210.6058515375,44001,50138.0
2006.0,BRISTOLCITY,VA,10660.0742795,51520,17571.0
2006.0,BROADWATER,MT,472.4381145,30007,4527.0
2006.0,BRONX,NY,182567.1783558125,36005,1371353.0
2006.0,BROOKE,WV,9415.1602918125,54009,23933.0
2006.0,BROOKINGS,SD,2694.8000573625,46011,29198.0
2006.0,BROOKS,GA,3331.2598775,13027,16327.0
2006.0,BROOKS,TX,550.10403,48047,7524.0
2006.0,BROOME,NY,45725.7106845,36007,195700.0
2006.0,BROOMFIELD,CO,10435.2965128625,08014,51454.0
2006.0,BROWARD,FL,1222607.3896560625,12011,1762334.0
2006.0,BROWN,IL,265.8087,17009,6601.0
2006.0,BROWN,IN,3596.8217935000002,18013,14847.0
2006.0,BROWN,KS,4000.6566435,20013,10112.0
2006.0,BROWN,MN,2749.724121,27015,26051.0
2006.0,BROWN,NE,285.981636,31017,3271.0
2006.0,BROWN,OH,13906.9187908625,39015,43735.0
2006.0,BROWN,SD,4626.4023375,46013,34907.0
2006.0,BROWN,TX,14676.872495,48049,38507.0
2006.0,BROWN,WI,40339.634316,55009,240437.0
2006.0,BRULE,SD,318.9220523625,46015,5090.0
2006.0,BRUNSWICK,NC,45396.7354034375,37019,94430.0
2006.0,BRUNSWICK,VA,895.1202585,51025,17950.0
2006.0,BRYAN,GA,9074.0786615,13029,28808.0
2006.0,BRYAN,OK,12634.9652425,40013,38956.0
2006.0,BUCHANAN,IA,910.5633,19019,20875.0
2006.0,BUCHANAN,MO,38069.928771175,29021,87420.0
2006.0,BUCHANAN,VA,15160.483015,51027,23992.0
2006.0,BUCKINGHAM,VA,2315.1129149999997,51029,15852.0
2006.0,BUCKS,PA,216731.31512985,42017,619245.0
